iter	Passed	Remaining
0	1	173
1	2	135
2	3	115
3	4	105
4	5	101
5	7	114
6	8	112
7	9	107
8	10	106
9	11	105
10	12	101
11	13	98
12	14	96
13	15	95
14	16	92
15	17	90
16	18	88
17	19	86
18	20	85
19	22	89
20	23	87
21	24	85
22	25	84
23	27	86
24	28	86
25	32	91
26	34	94
27	42	109
28	43	107
29	44	104
30	45	102
31	46	99
32	48	97
33	48	95
34	50	92
35	51	90
36	52	88
37	53	86
38	54	84
39	55	82
40	56	80
41	57	78
42	58	77
43	59	75
44	60	73
45	61	71
46	62	70
47	63	68
48	64	66
49	64	64
50	65	63
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	70	53
57	71	52
58	72	50
59	73	49
60	74	47
61	75	46
62	76	44
63	76	43
64	78	42
65	79	40
66	80	39
67	80	38
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	105	7
93	108	6
94	109	5
95	110	4
96	112	3
97	114	2
98	115	1
99	116	0
